Mjob_other_0,"If a high school *student's mother works in teaching, health care, civil services (e.g. administrative or police) or at home*, what is the probability that the student’s final grade is among the better half of the class?"
Mjob_other_1,"If a high school *student's mother works in an other field than teaching, health care, civil services (e.g. administrative or police) or at home*, what is the probability that the student’s final grade is among the better half of the class?"
Mjob_other,"What is the percentage of high school students *whose mothers work in an other field than teaching, health care, civil services (e.g. administrative or police) or at home*?"
higher==yes_0,"If a high school *student does not want to take higher education*, what is the probability that the student’s final grade is among the better half of the class?"
higher==yes_1,"If a high school *student wants to take higher education*, what is the probability that the student’s final grade is among the better half of the class?"
higher==yes,"What is the percentage of high school students *willing to take higher education*?"
"absences_(21.333, 32]_0","If a high school *student has few or a medium number of absences at school*, what is the probability that the student’s final grade is among the better half of the class?"
"absences_(21.333, 32]_1","If a high school *student has many absences at school*, what is the probability that the student’s final grade is among the better half of the class?"
"absences_(21.333, 32]","What is the percentage of high school students *having many absences at school*?"
"failures_(-0.003, 1]_0","If a high school *student has failed more than one class*, what is the probability that the student’s final grade is among the better half of the class?"
"failures_(-0.003, 1]_1","If a high school *student has failed a maximum of one class*, what is the probability that the student’s final grade is among the better half of the class?"
"failures_(-0.003, 1]","What is the percentage of high school students *having failed a maximum of one class*?"
paid==yes_0,"If a high school *student has taken no extra paid lessons*, what is the probability that the student’s final grade is among the better half of the class?"
paid==yes_1,"If a high school *student has taken extra paid lessons*, what is the probability that the student’s final grade is among the better half of the class?"
paid==yes,"What is the percentage of high school students *having taken extra paid lessons*?"
Fjob_teacher_0,"If a high school *student's father is not a teacher*, what is the probability that the student’s final grade is among the better half of the class?"
Fjob_teacher_1,"If a high school *student's father is a teacher*, what is the probability that the student’s final grade is among the better half of the class?"
Fjob_teacher,"What is the percentage of high school students *whose father is a teacher*?"
"Medu_(-0.004, 1.333]_0","If a high school *student's mother had more than Primary education until 4th grade*, what is the probability that the student’s final grade is among the better half of the class?"
"Medu_(-0.004, 1.333]_1","If a high school *student's mother had Primary education until 4th grade or less*, what is the probability that the student’s final grade is among the better half of the class?"
"Medu_(-0.004, 1.333]","What is the percentage of high school students *whose mothers had Primary education until 4th grade or less*?"
"health_(2.333, 3.667]_0","If a high school *student's health status is either high or low*, what is the probability that the student’s final grade is among the better half of the class?"
"health_(2.333, 3.667]_1","If a high school *student's health status is average*, what is the probability that the student’s final grade is among the better half of the class?"
"health_(2.333, 3.667]","What is the percentage of high school students *whose health status is average*?"
"failures_(2, 3]_0","If a high school *student has failed less than three classes*, what is the probability that the student’s final grade is among the better half of the class?"
"failures_(2, 3]_1","If a high school *student has failed three classes or more*, what is the probability that the student’s final grade is among the better half of the class?"
"failures_(2, 3]","What is the percentage of high school students *having failed three classes or more*?"
famsize==LE3_0,"If a high school *student's family size is greater than three*, what is the probability that the student’s final grade is among the better half of the class?"
famsize==LE3_1,"If a high school *student's family size is less or equal to three*, what is the probability that the student’s final grade is among the better half of the class?"
famsize==LE3,"What is the percentage of high school students *with a family size less or equal to three*?"
"age_(19.667, 22]_0","If a high school *student belongs to the younger or middle-aged part of the class (19 years or younger)*, what is the probability that the student’s final grade is among the better half of the class?"
"age_(19.667, 22]_1","If a high school *student belongs to the older part of the class (older than 19 years)*, what is the probability that the student’s final grade is among the better half of the class?"
"age_(19.667, 22]","What is the percentage of high school students *belonging to the older part of the class (older than 19 years)*?"
"studytime_(0.997, 2]_0","If a high school *student studies at least an average time (more than 5 hours per week)*, what is the probability that the student’s final grade is among the better half of the class?"
"studytime_(0.997, 2]_1","If a high school *student studies little (5 hours per week or less)*, what is the probability that the student’s final grade is among the better half of the class?"
"studytime_(0.997, 2]","What is the percentage of high school students *studying little (5 hours per week or less)*?"
Pstatus==T_0,"If a high school *student's parents live apart*, what is the probability that the student’s final grade is among the better half of the class?"
Pstatus==T_1,"If a high school *student's parents live together*, what is the probability that the student’s final grade is among the better half of the class?"
Pstatus==T,"What is the percentage of high school students *whose parents live together*?"
"failures_(1, 2]_0","If a high school *student has failed either fewer classes than average or more classes than average (less than 2 or more than 2 classes)*, what is the probability that the student’s final grade is among the better half of the class?"
"failures_(1, 2]_1","If a high school *student has failed an average number of classes (two classes)*, what is the probability that the student’s final grade is among the better half of the class?"
"failures_(1, 2]","What is the percentage of high school students *having failed an average number of classes (two classes)*?"
Mjob_at_home_0,"If a high school *student's mother does not work at home*, what is the probability that the student’s final grade is among the better half of the class?"
Mjob_at_home_1,"If a high school *student's mother works at home*, what is the probability that the student’s final grade is among the better half of the class?"
Mjob_at_home,"What is the percentage of high school students *whose mothers work at home*?"
G3,"What is the percentage of high school students *whose final grade is among the better half of the class*? Give your best guess (between 0 and 1)."
